Gene,Tier,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
GDA,Opiods,NM_001242505,xm_015117899.1,nm_010266.2,nm_031776.2,xm_002914743.3,xm_012454383.1,nm_001192620.1,xm_017973057.1,xm_010999942.1,xm_541285.5,xm_005683751.3,xm_005004744.2,xm_004439643.2,xm_012056717.1,xm_005388518.2,xm_007969494.1,xm_006834918.1,xm_004677571.2,xm_003513946.3,xm_004464948.2,xm_013018433.1,xm_004713816.1,xm_006894384.1,xm_008142078.1,xm_001488434.5,xm_007528748.2,xm_003995405.4,xm_008585534.1,xm_019034177.1,xm_004838447.2,xm_005324104.2,xm_004653110.2,xm_003407387.2,xm_005581927.2,xm_011770927.1,xm_011965143.1,xm_017642447.1,xm_005063768.2,xm_012770900.1,xm_005352036.1,xm_016206667.1,xm_001365045.3,xm_004769209.2,xm_008841828.2,xm_004087035.1,xm_004591769.2,xm_004637129.1,xm_004397546.2,xm_004276388.2,xm_002708206.3,xm_003782952.2,xm_015093180.1,xm_008952995.2,xm_009456730.2,xm_003911802.3,xm_009244518.1,xm_012641628.1,xm_011371264.1,xm_010375844.1,xm_016150042.1,xm_003935617.2,xm_004600110.1,xm_003353544.3,xm_004383293.1,xm_006152496.2,xm_019934671.1
GDF1,Alcohol,NM_001492,xm_001115596.3,nm_001163282.2,nm_001044230.2,xm_011222316.2,xm_012443482.1,xm_005208471.3,xm_017967533.1,xm_010995143.1,xm_005633197.1,xm_018051461.1,xm_003465105.3,xm_004422935.2,xm_012094483.1,xm_013507225.1,xm_007996108.1,xm_006876342.1,xm_004688600.2,xm_003499101.3,xm_004462076.1,xm_013028406.1,xm_004705521.1,xm_006885970.1,xm_008156375.1,xm_001503391.3,xm_007533199.2,xm_011290854.2,xm_008580156.1,xm_004060369.2,xm_004873397.2,xm_005332975.2,xm_004665925.1,xm_010593213.1,xm_005588485.1,xm_011747538.1,xm_011990626.1,xm_017674512.1,xm_005086137.2,xm_012735660.1,xm_005370548.1,xm_016210756.1,xm_001370431.4,xm_004760917.2,xm_008824528.2,xm_004089275.2,xm_004595531.2,xm_012512857.1,xm_004404662.1,xm_004277519.1,xm_008254824.2,xm_003796651.1,xm_015095568.1,xm_008971017.2,xm_016935542.1,xm_009193914.2,xm_009253009.1,xm_012654022.1,xm_011366747.1,xm_010386670.1,xm_016132413.1,xm_010330156.1,xm_004616834.1,xm_003123535.5,xm_004384490.1,xm_014587317.1,xm_004332449.2
GDNF,3,NM_000514,xm_001094714.3,nm_010275.3,xm_006232010.3,xm_011234725.2,xm_012460018.1,xm_005221582.3,xm_002745035.3,xm_010977577.1,xm_546342.5,xm_018065785.1,xm_003470278.3,xm_004422749.2,xm_012055211.1,xm_005386223.1,xm_007961423.1,xm_006874673.1,xm_004678101.1,xm_007644532.2,xm_004447212.2,xm_013018565.1,xm_004698072.1,xm_006889540.1,xm_008155590.1,xm_005604305.2,xm_007532031.1,xm_006928045.3,xm_008579721.1,xm_019012948.1,xm_004848600.1,xm_005325624.1,xm_004652502.1,xm_010588104.1,xm_005556755.2,xm_011726722.1,xm_011966018.1,xm_017647680.1,xm_005077988.2,xm_012736464.2,xm_005356600.2,xm_016224206.1,xm_001364807.4,xm_004737992.2,xm_008842082.2,xm_003274358.1,xm_004583656.1,xm_004623430.1,xm_004403931.1,xm_004265987.1,xm_008262127.2,xm_003792946.1,xm_012097027.2,xm_003810956.2,xm_526944.5,xm_003899594.2,xm_002815505.3,xm_012649797.1,xm_011370699.1,xm_010367668.1,xm_016142479.1,xm_003925915.2,xm_004605542.2,xm_005672424.2,xm_012558929.1,xm_006156312.2,xm_019929244.1
GFAP,Alcohol,NM_001131019,xm_015119893.1,nm_001131020.1,nm_017009.2,xm_019800226.1,xm_012444043.1,xm_010816312.2,xm_017972426.1,xm_010986434.1,xm_005624376.2,xm_018065253.1,xm_005001879.2,xm_014789094.1,xm_012059148.1,xm_005394555.2,xm_008012375.1,xm_006833517.1,xm_012726508.1,xm_007645057.2,xm_004458712.2,xm_013031972.1,xm_004707233.1,xm_006897827.1,xm_008149250.1,xm_005597018.2,xm_016193706.1,xm_019818001.1,xm_008591324.1,xm_004041583.2,xm_004859189.2,xm_005328133.1,xm_004655316.1,xm_010594523.1,xm_005584463.2,xm_011719318.1,xm_011985948.1,xm_017670973.1,xm_005070119.2,xm_012786788.2,xm_005369090.1,xm_016202020.1,xm_001368231.3,xm_004772496.2,xm_008838213.2,xm_003270732.3,xm_004597374.1,xm_004633943.1,xm_012564808.1,xm_004285962.1,xm_017349244.1,xm_003786259.2,xm_012186220.2,xm_008954675.1,xm_003315401.4,xm_017950811.1,nm_001132319.1,xm_012661501.1,xm_011377124.1,xm_010354003.1,xm_016139776.1,xm_010331470.1,xm_004621013.1,xm_005668709.2,xm_004374281.1,xm_006170025.2,xm_019939330.1
GLUD1,5,NM_001318900,xm_015147058.1,nm_008133.4,nm_012570.2,xm_002915393.3,xm_012472623.1,nm_182652.2,xm_009009605.2,xm_010993365.1,xm_014112780.1,xm_005699318.3,xm_013148552.1,xm_004432464.2,xm_012072146.1,xm_005407910.2,xm_007962672.1,xm_006875912.1,xm_012723752.1,xm_016966572.1,xm_004483229.1,xm_013036660.1,xm_004709197.1,xm_006901392.1,xm_008149133.1,xm_014733487.1,xm_016191337.1,xm_019813422.1,xm_008570301.1,xm_019034758.1,xm_004867713.2,xm_005333777.2,xm_004658025.1,xm_003418601.2,xm_005565233.2,xm_011749722.1,xm_011990888.1,xm_017679691.1,xm_005077633.2,xm_012788037.2,xm_005348614.2,xm_016214747.1,xm_016430248.1,xm_004765799.1,xm_008824453.2,xm_003281952.3,xm_004583332.2,xm_004641239.1,xm_004410213.1,xm_004272996.2,xm_008269891.2,xm_003803019.2,xm_015104482.1,xm_008959355.2,xm_001137904.4,xm_003903653.2,xm_002833560.2,xm_012651280.1,xm_011355369.1,xm_010374113.1,xm_016142803.1,xm_003945169.2,xm_004607410.1,nm_001244501.1,xm_004386083.2,xm_014587565.1,xm_019925731.1
GNA11,Cocaine,NM_002067,nm_001266856.1,nm_010301.3,nm_031033.1,xm_002923556.3,xm_012436387.1,nm_174322.3,xm_002761572.4,xm_010999872.1,nm_001195842.1,xm_018050800.1,xm_003460815.3,xm_004441327.1,xm_012073024.1,xm_005405852.2,xm_007994753.1,xm_006868959.1,xm_004689363.2,nm_001244051.1,xm_004477520.1,xm_013022635.1,xm_004714281.1,xm_006897908.1,xm_008150647.1,xm_005611464.2,xm_007524812.2,xm_011287931.2,xm_008588919.1,xm_019016436.1,xm_004865824.1,xm_005332011.2,xm_004654949.2,xm_010601248.1,xm_005587494.2,xm_011747994.1,xm_011967329.1,xm_017670822.1,xm_013123049.1,xm_012769346.2,xm_005358969.2,xm_016222187.1,xm_001362158.4,xm_013045389.1,xm_008837011.2,xm_004093249.2,xm_004595671.2,xm_004632723.2,xm_012560659.1,xm_004286305.2,xm_008256691.2,xm_003788865.2,xm_015095900.1,xm_008972605.1,xm_016937030.1,xm_003914642.3,xm_009252586.1,xm_012646147.1,xm_011375494.1,xm_010367304.1,xm_016163534.1,xm_010349642.1,xm_004614819.1,nm_001044538.2,xm_004378482.1,xm_006171782.2,xm_019934638.1
GNAI1,Opiods,NM_001256414,xm_015134190.1,nm_010305.1,nm_013145.1,xm_011223692.2,xm_012466549.1,xm_015468832.1,xm_017975404.1,xm_010993376.1,xm_005631019.1,xm_005679090.3,nm_001172953.1,xm_004439329.2,xm_012054783.1,xm_005377203.2,xm_007982375.1,xm_006834350.1,xm_012720833.1,nm_001244056.1,xm_004473385.1,xm_013026077.1,xm_004702621.2,xm_006882594.1,xm_008149617.1,xm_014738952.1,xm_007536323.2,xm_019825386.1,xm_008570007.1,xm_019031666.1,xm_004839749.2,xm_005340665.2,xm_004662321.1,xm_003407179.2,xm_005550382.2,xm_011730584.1,xm_011986096.1,xm_017647005.1,xm_005080876.2,xm_012779493.1,xm_005358343.1,xm_016217575.1,xm_001364564.4,xm_004739610.2,xm_008830785.2,xm_004090181.2,xm_004591345.2,xm_004649113.1,xm_004393627.1,xm_004263403.2,xm_002712018.3,xm_003782622.2,xm_015095247.1,xm_003822748.2,xm_003951062.3,xm_009203549.1,nm_001132282.1,xm_012650356.1,xm_011365221.1,xm_010377304.1,xm_016159622.1,xm_010344762.1,xm_004602136.2,xm_005667699.2,xm_004381464.1,xm_006154348.1,xm_019940519.1
GNAO1,2,NM_020988,xm_015126153.1,nm_010308.3,nm_017327.1,xm_011231771.2,xm_012447923.1,nm_174325.1,xm_002760959.4,xm_010988454.1,xm_005617542.1,xm_018062013.1,xm_003471969.3,xm_004431620.2,xm_012065832.1,xm_005388343.2,xm_007993334.1,xm_006863532.1,xm_004693571.2,nm_001244055.1,xm_012524447.1,xm_013027970.1,xm_013005197.1,xm_006882516.1,xm_008152325.1,xm_003364588.3,xm_007532704.2,xm_011290156.2,xm_008573337.1,xm_004057667.2,xm_004847899.1,xm_013365352.1,xm_012951726.1,xm_003416308.2,xm_005591961.1,xm_011762176.1,xm_011971907.1,xm_017679047.1,xm_005079136.2,xm_012755944.2,xm_005345621.1,xm_016220999.1,xm_007474883.2,xm_004744207.2,xm_008852751.1,xm_012504627.1,xm_004583865.2,xm_004625979.1,xm_004395813.2,xm_004286368.1,xm_008257311.2,xm_003792550.2,xm_004015006.3,xm_008977447.1,xm_510976.6,xm_009196467.2,xm_009250738.1,xm_012657445.1,xm_011360176.1,xm_010365433.1,xm_016124066.1,xm_003943452.2,xm_004600660.1,xm_013994557.1,xm_004371574.1,xm_006148389.2,xm_019935526.1
GNAQ,Cocaine,NM_002072,nm_001261595.1,nm_008139.5,nm_031036.1,xm_002925451.3,xm_012464231.1,nm_001110002.1,xm_002742816.3,xm_010978075.1,nm_001003249.1,xm_018052093.1,xm_003472171.2,xm_004439624.2,xm_012056786.1,xm_005408302.2,xm_007969549.1,xm_006834931.1,xm_012721384.1,nm_001244052.1,xm_004477520.1,xm_013018459.1,xm_004713824.2,xm_006891987.1,xm_008142059.1,xm_014735402.1,xm_007516117.2,xm_019815794.1,xm_008568501.1,xm_004048160.2,xm_004862540.2,xm_013358072.1,xm_004673339.2,xm_003407377.2,xm_005581977.2,xm_011770985.1,xm_011984079.1,xm_017660224.1,xm_005063781.2,xm_012759768.2,xm_013348006.1,xm_016222872.1,xm_001362422.2,xm_013045670.1,xm_008833346.1,xm_004093249.2,xm_004591786.1,xm_004632723.2,xm_004396715.1,xm_004285836.2,xm_008256691.2,xm_003782966.2,xm_015093177.1,xm_008963863.1,xm_016960988.1,xm_017949946.1,xm_002819888.2,xm_012650662.1,xm_011375494.1,xm_010364455.1,xm_016157640.1,xm_010341317.1,xm_004612963.1,nm_001038623.1,xm_004383281.1,xm_014586626.1,xm_019934638.1
GNB1,3,NM_001282538,nm_001265894.1,nm_001160017.1,xm_008764335.2,xm_019805027.1,xm_012467887.1,xm_010813308.2,xm_017974238.1,xm_010999355.1,xm_005620341.2,xm_018060496.1,nm_001173058.1,xm_004425499.2,xm_012078480.1,xm_005404194.1,xm_007980951.1,xm_006871726.1,xm_012734555.1,xm_007649854.2,xm_012522826.1,xm_013034649.1,xm_004705216.1,xm_006885826.1,xm_008151710.1,xm_001503432.3,xm_016191025.1,xm_011284407.2,xm_008583865.1,xm_019009997.1,xm_013065125.1,xm_005339235.2,xm_004657728.1,xm_010593175.1,xm_005545044.2,xm_011767292.1,xm_011987231.1,xm_017661989.1,xm_013126579.1,xm_020281318.1,xm_005368666.2,xm_016216851.1,xm_016430055.1,xm_013050947.1,xm_008852624.1,xm_012498430.1,xm_004599537.1,xm_004639690.1,xm_004407369.2,xm_004272294.2,xm_008252581.2,xm_003793202.2,xm_004013774.3,xm_014344259.1,xm_016952416.1,xm_009212077.2,nm_001133192.1,xm_012657480.1,xm_011377313.1,xm_010352579.1,xm_016144455.1,xm_010350342.1,xm_012932446.1,xm_003480989.2,xm_004384328.1,xm_014582360.1,xm_019942331.1
GNB2L1,1,NM_006098,xm_001105066.3,nm_008143.3,nm_130734.2,xm_011217589.2,xm_012451538.1,nm_175802.3,xm_002806602.3,xm_010997889.1,xm_005626280.2,xm_018050555.1,xm_003472186.3,xm_004443583.2,xm_012070029.1,xm_005410096.2,xm_008015592.1,xm_006877391.1,xm_012733292.1,xm_007620291.2,xm_012529051.1,xm_013030974.1,xm_004697167.1,xm_006898173.1,xm_008158657.1,nm_001242446.1,xm_007527148.1,xm_003980639.4,xm_008581510.1,xm_004043173.2,xm_004875125.2,xm_005340884.1,xm_004657466.1,xm_010593030.1,xm_005558843.2,xm_011745042.1,xm_011969451.1,xm_017649906.1,xm_005071975.2,xm_020284587.1,xm_005350198.2,xm_016201530.1,xm_001367200.4,xm_004780199.2,xm_008845950.2,xm_003279578.3,xm_004586270.2,xm_004641764.2,xm_004413494.2,xm_004277640.2,xm_008262008.2,xm_003800179.2,nm_001281479.1,xm_008956905.1,xm_518165.6,xm_009209738.1,xm_002834778.3,xm_012654658.1,xm_011362144.1,xm_010384641.1,xm_016158376.1,xm_010332733.1,xm_004615306.2,nm_214332.1,xm_004387172.2,xm_014587461.1,xm_004316677.2
GNB5,2,NM_006578,xm_015142260.1,nm_138719.5,xm_017595933.1,xm_019804454.1,xm_012442197.1,nm_001099070.1,xm_002753494.3,xm_010977166.1,xm_014109373.1,xm_018054208.1,xm_005004577.2,xm_014780726.1,xm_012093094.1,xm_013510285.1,xm_008016585.1,xm_006831862.1,xm_004687783.2,xm_007645897.2,xm_012525207.1,xm_013010057.1,xm_013006339.1,xm_006898248.1,xm_008143251.1,xm_005603342.2,xm_016190684.1,xm_019832409.1,xm_008586146.1,xm_019010948.1,xm_004835387.2,xm_013357873.1,xm_004662478.1,xm_010600084.1,xm_005559579.2,xm_011755605.1,xm_011986285.1,xm_017657372.1,xm_013116068.1,xm_012763457.2,xm_013346422.1,xm_016224966.1,xm_007479968.2,xm_013057670.1,xm_008829771.2,xm_003266696.3,xm_004578370.2,xm_004639049.1,xm_004396573.2,xm_004281668.1,nm_001082170.1,xm_003784364.1,xm_012181548.2,xm_003827846.2,xm_016928250.1,xm_017960626.1,xm_009249833.1,xm_012658085.1,xm_011355124.1,xm_010361391.1,xm_016162695.1,xm_010352401.1,xm_004601670.1,xm_001924730.3,xm_012555895.1,xm_014584268.1,xm_019950592.1
GOSR1,Alcohol,NM_001007024,xm_015118839.1,xm_006533731.2,xm_006246914.2,xm_002912302.3,xm_012449288.1,nm_001038525.1,xm_008997138.2,xm_010978931.1,xm_005624907.1,xm_005693293.3,xm_003469694.3,xm_004433340.2,xm_012072541.1,xm_005402652.2,xm_008010942.1,xm_006863205.1,xm_004684817.2,nm_001246745.1,xm_004483806.2,xm_013016583.1,xm_004706891.1,xm_006890997.1,xm_008147857.1,nm_001301246.1,xm_016186981.1,xm_006940002.2,xm_008580930.1,xm_019028357.1,xm_004857090.2,xm_005327870.2,xm_004667876.2,xm_003416801.2,xm_015438137.1,xm_011733169.1,xm_011990386.1,xm_017675344.1,xm_005067375.2,xm_012740698.1,xm_005349513.2,xm_016201981.1,xm_016429287.1,xm_004746914.2,xm_008828740.1,xm_012503556.1,xm_012929430.1,xm_004635370.1,xm_012563673.1,xm_004267091.2,xm_002718900.3,xm_012811584.1,xm_004012527.2,xm_008965178.1,xm_016932080.1,xm_017950480.1,xm_009251421.1,xm_012657324.1,xm_011359906.1,xm_010367947.1,xm_016138987.1,xm_010342098.1,xm_004604997.1,xm_005669105.2,xm_004376174.1,xm_006169619.2,xm_004311642.2
GPM6B,4,NM_001001994,xm_015126950.1,nm_001177961.1,xm_017601904.1,xm_019808139.1,xm_012435019.1,xm_005228439.3,xm_008988968.2,xm_010999054.1,xm_537959.5,xm_005701100.3,xm_003463041.3,xm_004435129.2,xm_012035875.1,xm_005409194.2,xm_007991069.1,xm_006835623.1,xm_004689857.2,xm_003509043.3,xm_004459113.2,xm_013032189.1,xm_004709962.1,xm_006892380.1,xm_008154917.1,xm_003365795.3,xm_007520570.2,xm_011291610.2,xm_008571954.1,xm_004063816.2,xm_004870992.2,xm_005315978.1,xm_004671452.2,xm_010595780.1,xm_005593001.2,xm_011735162.1,xm_011994825.1,xm_017670527.1,xm_005074191.2,xm_012784800.2,xm_005358740.1,xm_016202947.1,xm_007500914.2,xm_004758866.2,xm_008852884.2,xm_012500929.1,xm_012929450.1,xm_004635055.1,xm_004410418.1,xm_004269677.2,xm_008254039.1,xm_003793067.2,xm_004021911.2,xm_003805695.2,xm_009438783.2,xm_003917418.2,nm_001135409.1,xm_012649815.1,xm_011362942.1,xm_010354063.1,xm_016119220.1,xm_003920322.2,xm_004612192.2,xm_005673445.2,xm_004386339.1,xm_006172000.2,xm_004316492.2
GRB2,4,NM_002086,xm_015120312.1,nm_008163.4,nm_030846.2,xm_002919844.3,xm_012453724.1,xm_010816566.1,xm_002748733.3,xm_010998391.1,xm_540431.5,xm_018063823.1,xm_004999290.2,xm_004432752.2,xm_012042512.1,xm_005412295.2,xm_008011770.1,xm_006869581.1,xm_004693496.2,xm_007617675.2,xm_004463867.2,xm_013037975.1,xm_004709294.1,xm_006886210.1,xm_008155063.1,xm_001495766.5,xm_016189137.1,xm_006940579.3,xm_008566070.1,xm_004040999.2,xm_004860664.2,xm_013361689.1,xm_012948036.1,xm_003417261.2,nm_001287635.1,xm_011719816.1,xm_011978660.1,xm_017666169.1,xm_005069919.2,xm_012778799.2,xm_005350735.2,xm_016212429.1,xm_001369442.3,xm_004748934.2,xm_008831413.1,xm_003279073.3,xm_004592909.2,xm_004630100.2,xm_004394340.2,xm_012535151.1,xm_002722939.3,xm_012803142.1,xm_015098959.1,xm_003813290.2,nm_001246617.1,xm_003913427.2,xm_009252017.1,xm_012662377.1,xm_011361937.1,xm_010387612.1,xm_016132533.1,xm_010342536.1,xm_004615664.1,nm_001137628.1,xm_004374153.1,xm_006145814.2,xm_019938740.1
GRIA2,4,NM_000826,nm_001185013.2,nm_001083806.1,nm_017261.2,xm_011225043.2,xm_012448485.1,nm_001076321.3,xm_008992547.2,xm_010994273.1,xm_014119616.1,xm_013970552.2,xm_003476981.3,xm_004420956.2,xm_012086558.1,xm_005400942.2,xm_008000098.1,xm_006867917.1,xm_004685354.2,xm_007640956.2,xm_012522317.1,xm_013029817.1,xm_004708731.1,xm_006884445.1,xm_008144534.1,nm_001185087.3,xm_007532062.2,xm_011281599.2,xm_008591302.1,xm_004040560.2,xm_013067002.1,xm_005330930.1,xm_004655893.1,xm_010598167.1,xm_005556163.2,xm_011752846.1,xm_011970501.1,xm_017679867.1,xm_013117779.1,xm_012783611.1,xm_005344134.2,xm_016200322.1,xm_007496190.2,xm_004772048.2,xm_008854311.1,xm_003257892.3,xm_004591407.2,xm_004638710.1,xm_004394236.1,xm_004266168.1,xm_008267278.2,xm_003794687.2,xm_004017287.3,xm_003822551.3,nm_001184994.3,xm_003899304.3,xm_002815249.2,xm_012652992.1,xm_011360335.1,xm_010358046.1,xm_016138675.1,xm_003927940.2,xm_004606155.1,xm_003482390.3,xm_004382035.1,xm_006164186.2,xm_019926747.1
GRIK1,Cocaine,NM_000830,xm_001100491.2,xm_006522916.3,xm_006248054.3,xm_002924137.1,xm_012446627.1,nm_001102514.1,xm_002761343.3,xm_010977372.1,xm_544843.5,xm_018049065.1,xm_013149712.1,xm_014786800.1,xm_012029884.1,xm_005375622.2,xm_007965624.1,xm_006862518.1,xm_004675333.1,xm_007621071.1,xm_004468594.2,xm_013027466.1,xm_004713099.1,xm_006899416.1,xm_008153677.1,xm_001915260.4,xm_016190588.1,xm_019839466.1,xm_008582352.1,xm_004062666.2,xm_004842256.2,xm_005323556.1,xm_004654402.1,xm_003410316.2,xm_005548858.2,xm_011726297.1,xm_011999793.1,xm_017640102.1,xm_005073845.2,xm_012780942.2,xm_013353165.1,xm_016216504.1,xm_007493093.2,xm_004757477.1,xm_008836018.2,xm_003263829.3,xm_012927968.1,xm_004646303.1,xm_004394380.1,xm_004264501.1,xm_017347204.1,xm_012809677.1,xm_004002783.3,xm_014343137.1,xm_009425849.2,xm_009202390.2,xm_002830593.2,xm_012657351.1,xm_011358190.1,xm_010364920.1,xm_016152126.1,xm_010338402.1,xm_012935093.1,xm_003358905.4,xm_012554129.1,xm_006155277.2,xm_019923108.1
GRIK5,Cocaine,NM_001301030,xm_002808194.2,nm_008168.2,nm_031508.2,xm_011230719.2,xm_012461501.1,nm_001046424.1,xm_017967409.1,xm_010981447.1,xm_541594.6,xm_018062476.1,xm_013146790.1,xm_014795048.1,xm_012086908.1,xm_005412395.2,xm_007996951.1,xm_006871381.1,xm_012733476.1,xm_007616676.2,xm_004482232.1,xm_013032612.1,xm_004710517.1,xm_006900927.1,xm_008160232.1,xm_014731883.1,xm_016192477.1,xm_019819475.1,xm_008567256.1,xm_019014633.1,xm_004873050.1,xm_013364170.1,xm_012951629.1,xm_010586883.1,xm_005589414.2,xm_011765382.1,xm_011983004.1,xm_017654151.1,xm_013125993.1,xm_020283298.1,xm_005361128.1,xm_016209265.1,xm_016427260.1,xm_004767741.2,xm_008846436.2,xm_012496701.1,xm_004597973.1,xm_004644355.1,xm_004408161.2,xm_004271228.2,xm_008253117.2,xm_012811223.1,xm_015100223.1,xm_003811787.3,xm_016934224.1,xm_009194587.2,xm_009232658.1,xm_012653349.1,xm_011382841.1,xm_010358984.1,xm_016129925.1,xm_010331111.1,xm_004620763.2,xm_013988684.1,xm_012559174.1,xm_014582528.1,xm_019937348.1
GRIN1,Cocaine,NM_000832,xm_015116272.1,nm_001177657.2,nm_001270610.1,xm_019806810.1,xm_012445193.1,xm_015465593.1,xm_003732092.3,xm_011000020.1,nm_001008717.1,xm_018056255.1,xm_003473098.3,xm_004423682.1,xm_012048863.1,xm_005408592.2,xm_008005516.1,xm_006863673.1,xm_012734943.1,xm_007639001.1,xm_012521867.1,xm_013029336.1,xm_004714433.2,xm_006900601.1,xm_008152458.1,xm_014736256.1,xm_007521488.2,xm_019816840.1,xm_008576492.1,xm_019033133.1,xm_004848787.2,xm_005336897.1,xm_004654120.2,xm_010602421.1,xm_005580344.2,xm_011724873.1,xm_011985176.1,xm_017646746.1,xm_005083702.2,xm_012784396.1,xm_005346320.2,xm_016211776.1,xm_001374979.3,xm_004780794.2,xm_008831228.1,xm_012508739.1,xm_004593431.2,xm_004640505.1,xm_004416649.2,xm_004284959.1,xm_008252131.2,xm_003794812.1,xm_012107957.2,xm_003816992.2,xm_016960508.1,xm_003911015.2,xm_009245055.1,xm_012654811.1,xm_011369906.1,xm_010372859.1,xm_016130966.1,xm_010352229.1,xm_004613368.1,xm_013992346.1,xm_004390685.1,xm_014582028.1,xm_019933739.1
GRIN2C,2,NM_000835,xm_015120278.1,xm_017314279.1,xm_006247709.3,xm_019800282.1,xm_012453752.1,xm_005221246.3,xm_002806869.3,xm_010998410.1,xm_014116306.1,xm_018063858.1,xm_013147010.1,xm_014789228.1,xm_012042585.1,xm_005415170.2,xm_008011832.1,xm_006869597.1,xm_004693478.2,xm_016969552.1,xm_012527318.1,xm_013036546.1,xm_004709156.1,xm_006886230.1,xm_008155090.1,xm_005597186.2,xm_007524654.2,xm_019816968.1,xm_008588269.1,xm_019027626.1,xm_004860608.1,xm_005332695.1,xm_004655157.2,xm_010597082.1,xm_015438813.1,xm_011719767.1,xm_012002527.1,xm_017643503.1,xm_013113442.1,xm_012778747.2,xm_005350701.2,xm_016220349.1,xm_007482681.2,xm_013054240.1,xm_008831453.2,xm_012512515.1,xm_004592936.1,xm_004630075.1,xm_004394370.1,xm_004275447.1,xm_008252131.2,xm_003786155.1,xm_015098966.1,xm_008965905.1,xm_016932881.1,xm_003913386.3,xm_002827809.1,xm_012662328.1,xm_011362060.1,xm_010387648.1,xm_016132578.1,xm_010342449.1,xm_004615733.1,xm_013980765.1,xm_004374404.1,xm_006145936.1,xm_019938582.1
GRINA,4,NM_000837,xm_015146185.1,xm_006521249.3,nm_153308.4,xm_011228549.2,xm_012473348.1,nm_001037593.1,xm_017965522.1,xm_010998774.1,xm_532348.5,xm_018058698.1,xm_003463680.3,xm_004443021.2,xm_012050164.1,xm_005395836.2,xm_008001870.1,xm_006830766.1,xm_004679571.2,xm_003507628.3,xm_004482177.2,xm_013033902.1,xm_004697360.1,xm_006879236.1,xm_008159703.1,xm_001496011.3,xm_007516016.2,xm_011291510.2,xm_008571679.1,xm_019032366.1,xm_004837786.2,xm_005324929.1,xm_004656408.1,xm_003422391.2,xm_015444687.1,xm_011752588.1,xm_011975679.1,xm_017661319.1,xm_005085984.2,xm_012760072.2,xm_013348763.1,xm_016216647.1,xm_003340688.3,xm_004779448.2,xm_008834473.2,xm_003280785.3,xm_004580879.2,xm_004638888.1,xm_004400714.2,xm_012531424.1,xm_002724157.2,xm_012813082.1,nm_001278564.1,xm_003819438.3,xm_016958928.1,xm_009198904.1,xm_002819539.3,xm_012648041.1,xm_011374882.1,xm_010375254.1,xm_016131905.1,xm_003942057.2,xm_004618646.1,xm_003357436.2,xm_004387387.1,xm_006152056.2,xm_019927262.1
GRM5,Cocaine,NM_000842,xm_015115388.1,nm_001081414.2,xm_017588781.1,xm_019808893.1,xm_012444852.1,xm_015469930.1,xm_017977702.1,xm_010991053.1,xm_851625.4,xm_018043524.1,xm_013151205.1,xm_014790192.1,xm_012075628.1,xm_005380433.1,xm_008020464.1,xm_006871218.1,xm_004683284.2,xm_007628485.1,xm_012524859.1,xm_013013982.1,xm_004708890.1,xm_006895250.1,xm_008153616.1,xm_005611978.2,xm_007534501.2,xm_019812929.1,xm_008584858.1,xm_019037317.1,xm_004868208.1,xm_005339208.1,xm_004658258.1,xm_010598219.1,xm_005579312.2,xm_011719379.1,xm_011984895.1,xm_017644976.1,xm_013124694.1,xm_012745156.2,xm_013350126.1,xm_016206731.1,xm_016421985.1,xm_013061960.1,xm_008844125.1,xm_003254505.2,xm_004589816.1,xm_004647439.1,xm_004410957.2,xm_004271879.2,xm_017344104.1,xm_012801266.1,xm_015103067.1,xm_003832988.2,xm_003313255.3,xm_017948840.1,xm_009246929.1,xm_012641786.1,xm_011363299.1,xm_010357228.1,xm_016153165.1,xm_010345662.1,xm_004619037.1,xm_013979244.1,xm_004385539.2,xm_006144909.2,xm_019948818.1
